canon,slope_K,tg_infinity,r2_flory_fox,monotone
*c1ccc(CC(=O)Nc2ccc(Cc3ccc(NC(=O)Cc4ccc(-c5sc(*)c(-c6ccccc6)c5-c5ccccc5)cc4)cc3)cc2)cc1,-28.759973238112668,187.79843709027688,0.8060562680319396,False
*Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCN(CCOC(*)=O)c3ccc4[nH]c5ccccc5c4c3)cc2)cc1,27.5987305164441,162.66535881964097,0.5695663210107191,False
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cocc3*)cc2)cc1,-11.621873568149862,123.47080827112872,0.28272625618936364,False
*OC(CCCCC)CC(*)=O,-7.192209993778644,3.639418409920707,0.11680406569518986,False
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)c(C(C)C)c3)c2)cc1CC,18.174344813631013,189.82121821551075,0.25723937005775865,False
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,24.898854920403807,129.57850036056382,0.8660737371939153,False
*c1ccc(N(c2ccc(OC)cc2)c2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,-19.287427174234566,256.6574187564376,0.7855747387467186,False
*CCNC(=O)c1ccc(-c2ccc(O*)cc2)cc1,-42.250956517888795,161.3949810989163,0.819615176178002,False
*CCCCCCNC(=O)CCC1(CCC(=O)N*)c2ccccc2-c2ccccc21,7.021610075281906,106.89859116792722,0.0557125780636466,False
*c1ccc(C(=O)NNC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,-12.714319610755425,231.6565947387605,0.46533990964525185,False
*CC(*)C(=O)Oc1ccc([N+](=O)[O-])cc1,-33.34979542848733,74.91816232451193,0.7282349348105314,False
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cc(-c6ccccc6)c6cc(Oc7ccc8nc(*)cc(-c9ccccc9)c8c7)ccc6n5)cc4)cc3)cc2)cc1,-7.931441579507692,284.3378857309298,0.6436267406151241,False
*CCCOCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,-12.150578468124184,62.987718220152914,0.5724946463896283,False
*C[Si](*)(CCCC)CCCC,30.603315933363426,-22.76704590187921,0.36714728648848916,False
*OC(COC(=O)c1ccc(C(*)=O)c(OC)c1)COc1ccc(N=Nc2ccc(C#N)cc2)cc1,14.941979376846785,136.35042464764845,0.3143995214883186,False
*N=P(*)(Oc1ccc(C(C)C)cc1)Oc1ccc(C(C)C)cc1,17.34598046379575,133.70898591365557,0.5912689964710418,False
*Oc1cc2ccccc2cc1OC(=O)c1ccc(Oc2ccc(C(*)=O)cc2)cc1,68.49387725887266,224.679235751004,0.9726082749779227,False
